,bin,time(ms), 1,0,1,
09_,418,835,-0.16494,0.19538,0.2468,
09_,419,837,-0.16624,0.19538,0.25194,
09_,420,839,-0.16754,0.20052,0.25194,
09_,421,841,-0.16884,0.20052,0.25194,
09_,422,843,-0.17014,0.20052,0.25194,
09_,423,845,-0.17144,0.20052,0.25708,
09_,424,847,-0.17274,0.20052,0.25708,
09_,425,849,-0.17403,0.20052,0.26222,
09_,426,851,-0.17533,0.20052,0.26222,
09_,427,853,-0.17663,0.20567,0.26222,
09_,428,855,-0.17793,0.21081,0.25708,
09_,429,857,-0.1758,0.21081,0.25708,
09_,430,859,-0.1771,0.21081,0.26222,
09_,431,861,-0.1784,0.21081,0.25708,
09_,432,863,-0.1797,0.21081,0.25708,
09_,433,865,-0.18099,0.21081,0.25708,
09_,434,867,-0.18229,0.21081,0.25708,
09_,435,869,-0.18016,0.21081,0.25708,
09_,436,871,-0.18146,0.21081,0.25708,
09_,437,873,-0.17933,0.21081,0.26222,
09_,438,875,-0.18063,0.21595,0.26222,
09_,439,877,-0.1785,0.21081,0.26736,
09_,440,879,-0.1798,0.21595,0.26736,
09_,441,881,-0.17767,0.21595,0.27251,
09_,442,883,-0.17897,0.21595,0.53473,
09_,443,885,-0.18027,0.21595,0.53473,
09_,444,887,-0.18157,0.21595,0.54501,
09_,445,889,-0.17944,0.21595,0.5553,
09_,446,891,-0.18074,0.21595,0.28279,
09_,447,893,-0.18203,0.21595,0.28793,
09_,448,895,-0.18333,0.21595,0.60671,
09_,449,897,-0.18463,0.21595,0.617,
09_,450,899,-0.18593,0.22109,0.62728,
09_,451,901,-0.18723,0.22109,0.64784,
09_,452,903,-0.18853,0.22623,0.33421,
09_,453,905,-0.19244,0.22623,0.34449,
09_,454,907,-0.19293,0.22623,0.34449,
09_,455,909,-0.19342,0.22109,0.34963,
09_,456,911,-0.19391,0.22623,0.35477,
09_,457,913,-0.19783,0.22623,0.35991,
09_,458,915,-0.20175,0.22623,0.35477,
09_,459,917,-0.20567,0.22109,0.35477,
09_,460,919,-0.20909,0.22109,0.35477,
09_,461,921,-0.21595,0.22109,0.34963,
09_,462,923,-0.2228,0.21595,0.34963,
09_,463,925,-0.22623,0.21595,0.68898,
09_,464,927,-0.22966,0.21595,0.67869,
09_,465,929,-0.23309,0.21595,0.67869,
09_,466,931,-0.23651,0.21595,0.33421,
09_,467,933,-0.23651,0.21595,0.33421,
09_,468,935,-0.23309,0.21595,0.32392,
09_,469,937,-0.23651,0.21595,0.31878,
09_,470,939,-0.23651,0.21595,0.31878,
09_,471,941,-0.23651,0.21595,0.31364,
09_,472,943,-0.23651,0.22109,0.30336,
09_,473,945,-0.23651,0.22109,0.30336,
09_,474,947,-0.23651,0.22109,0.30336,
09_,475,949,-0.23309,0.22623,0.30336,
09_,476,951,-0.22966,0.23137,0.30336,
09_,477,953,-0.22623,0.23137,0.30336,
09_,478,955,-0.22623,0.22623,0.30336,
09_,479,957,-0.21595,0.22623,0.31364,
09_,480,959,-0.20567,0.22623,0.31364,
09_,481,961,-0.19538,0.22623,0.31364,
09_,482,963,-0.18167,0.22109,0.31364,
09_,483,965,-0.17482,0.22109,0.3085,
09_,484,967,-0.1611,0.21595,0.62728,
09_,485,969,-0.14739,0.21595,0.617,
09_,486,971,-0.13711,0.21081,0.60671,
09_,487,973,-0.13368,0.20567,0.60671,
09_,488,975,-0.13025,0.20567,0.29307,
09_,489,977,-0.12683,0.20052,0.28793,
09_,490,979,-0.13368,0.19538,0.27765,
09_,491,981,-0.14054,0.19538,0.27765,
09_,492,983,-0.14054,0.19538,0.26736,
09_,493,985,-0.14397,0.19538,0.25708,
09_,494,987,-0.14739,0.19024,0.2468,
09_,495,989,-0.14739,0.19538,0.24166,
09_,496,991,-0.15082,0.19538,0.24166,
09_,497,993,-0.14739,0.19538,0.23651,
09_,498,995,-0.14397,0.19538,0.23137,
09_,499,997,-0.13368,0.19538,0.23651,
09_,500,999,-0.13025,0.20567,0.23137,
09_,501,1001,-0.13368,0.21081,0.23651,
09_,502,1003,-0.13025,0.21595,0.23651,
09_,503,1005,-0.12683,0.22109,0.23651,
09_,504,1007,-0.12683,0.22623,0.23651,
09_,505,1009,-0.12683,0.23651,0.23651,
09_,506,1011,-0.1234,0.25194,0.23137,
09_,507,1013,-0.11997,0.25708,0.23137,
09_,508,1015,-0.11654,0.26222,0.22623,
09_,509,1017,-0.11312,0.27251,0.22623,
09_,510,1019,-0.10969,0.27765,0.22623,
09_,511,1021,-0.10969,0.28793,0.45246,
09_,512,1023,-0.10283,0.28793,0.45246,
09_,513,1025,-0.095977,0.28793,0.45246,
09_,514,1027,-0.092549,0.28793,0.45246,
09_,515,1029,-0.089122,0.29307,0.45246,
09_,516,1031,-0.082266,0.29821,0.45246,
09_,517,1033,-0.078838,0.60671,0.44218,
09_,518,1035,-0.071983,0.3085,0.22623,
09_,519,1037,-0.068555,0.31364,0.22623,
09_,520,1039,-0.068555,0.31878,0.22623,
09_,521,1041,-0.065127,0.32392,0.22109,
09_,522,1043,-0.065127,0.32906,0.4319,
09_,523,1045,-0.065127,0.32906,0.44218,
09_,524,1047,-0.068555,0.32906,0.21595,
09_,525,1049,-0.068555,0.33421,0.21595,
09_,526,1051,-0.065127,0.33421,0.21595,
09_,527,1053,-0.065127,0.33935,0.21081,
