** CONVERTED FROM /Users/slab/Documents/GitHub/poker/edfData/22_.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Thu Mar  7 16:51:55 2019
** DATE: Thu Mar  7 19:59:56 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL Version 1.4 Sensor=BJA
** SERIAL NUMBER: CL1-AAC35
** CAMERA_CONFIG: AAC35140.SCD
** Psychopy GC demo
**

MSG	208314 DISPLAY_COORDS = 0 0 1919 1079
MSG	209196 TRIALID
INPUT	216273	127
MSG	216288 TRIALID
MSG	216288 TRIALID
MSG	216291 RECCFG CR 500 2 1 R
MSG	216291 ELCLCFG RTABLER
MSG	216291 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	216291 THRESHOLDS R 41 181
MSG	216291 ELCL_PROC ELLIPSE  (5)
MSG	216291 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	216292 !MODE RECORD CR 500 2 1 R
START	216293 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	HTARGET	RATE	 500.00	TRACKING	CR	FILTER	2	INPUT
INPUT	216293	127
216293	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
SSACC R  216295
SBLINK R 216295
216861	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216863	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216865	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216867	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216869	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216871	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216873	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216875	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216877	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216879	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216881	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216883	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216885	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216887	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216889	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216891	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216893	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216895	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216897	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216899	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216901	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216903	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216905	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216907	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216909	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216911	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216913	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216915	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216917	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216919	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216921	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216923	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216925	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216927	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216929	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216931	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216933	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216935	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216937	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
